Datum,CDUCSU,SPD,Gruene,FDP,LINKE,AfD,Institut
2021-01-04,37,16,18,6,8,9,GMS
2021-01-05,36,15,18,7.5,7.5,11,INSA
2021-01-05,36,15,18,7.5,7.5,11,INSA
2021-01-06,36,15,18,6,9,10,Yougov
2021-01-07,35,14,21,7,7,10,Infratest
2021-01-09,36,14,20,7,8,8,Forsa
2021-01-12,36,15,18,7.5,8,10,INSA
2021-01-15,37,15,20,5,8,10,ForWahlen
2021-01-17,36,15,18,7,8,10,Emnid
2021-01-18,35,15,19,7,8,9,Forsa
2021-01-18,35,15,20,6,8,9,Forsa
2021-01-18,35,15,17,9,8,11,INSA
2021-01-21,34,15,21,7,6,10,Infratest
2021-01-24,35,15,20,7,8,9,Emnid
2021-01-26,37,15,18,7,7,9,Forsa
2021-01-26,35,16,17,8,8,10,INSA
2021-01-28,37,16,20,6.5,7.5,9,Allensbach
2021-01-28,37,15,20,6,7,9,ForWahlen
2021-01-31,36,15,19,7,8,9,Emnid
2021-02-02,37,15,19,6,8,8,Forsa
2021-02-02,36.5,15,17,8,7.5,11,INSA
2021-02-04,34,15,21,8,6,10,Infratest
2021-02-04,36,15,18,7,9,10,Yougov
2021-02-07,36,16,19,7,7,9,Emnid
2021-02-08,34.5,16,17.5,9,8.5,10.5,INSA
2021-02-09,37,15,19,7,7,8,Forsa
2021-02-14,35,17,18,8,7,10,Emnid
2021-02-15,37,17,18,7,7,9,GMS
2021-02-15,33.5,17,17,9,9,10.5,INSA
2021-02-16,35,16,19,7,8,8,Forsa
2021-02-18,33,16,20,8,6,11,Infratest
2021-02-20,34,16,19,8,8,9,Emnid
2021-02-23,35,16,19,8,7,8,Forsa
2021-02-23,33.5,16,17,9,8,11,INSA
2021-02-25,37,15,20,7,7,9.5,Allensbach
2021-02-26,35,16,19,7,7,10,ForWahlen
2021-02-26,33,16,18,8,8,11,Yougov
2021-02-27,34,16,18,8,9,9,Emnid
2021-03-02,34,16,19,7,8,9,Forsa
2021-03-02,32.5,17,17,10,8,11,INSA
2021-03-04,33,16,20,7,7,11,Infratest
2021-03-07,32,16,19,9,9,10,Emnid
2021-03-08,30,17,17,10.5,9,11.5,INSA
2021-03-10,33,16,18,8,8,10,Forsa
2021-03-14,31,16,19,8,8,11,Emnid
2021-03-15,29.5,17,17,10.5,8,11.5,INSA
2021-03-17,29,16,21,8,8,10,Forsa
2021-03-18,29,17,20,9,7,11,Infratest
2021-03-20,27,17,22,10,8,10,Emnid
2021-03-20,28,18,20,10,8,11,INSA
2021-03-22,28,18,20,10.5,7,11,INSA
2021-03-24,28.5,18,21.5,8.5,8.5,10,Allensbach
2021-03-24,26,16,22,10,8,10,Forsa
2021-03-26,28,15,23,9,7,12,ForWahlen
2021-03-27,25,17,23,10,9,10,Emnid
2021-03-29,26,16,21,11,8,11,GMS
2021-03-29,26,18,21,10.5,7,11,INSA
2021-03-31,27,15,23,10,7,11,Forsa
2021-04-01,27,16,22,9,7,11,Infratest
2021-04-01,27,17,21,10,8,11,Yougov
2021-04-04,26,16,23,9,9,10,Emnid
2021-04-05,27,17,21,10,7,12,INSA
2021-04-07,27,15,23,10,7,10,Forsa
2021-04-11,27,15,22,9,9,11,Emnid
2021-04-12,27.5,17,20.5,10,7,12,INSA
2021-04-14,27,15,23,9,8,11,Forsa
2021-04-15,28,15,21,11,7,11,Infratest
2021-04-16,31,14,21,9,7,11,ForWahlen
2021-04-16,28,18,20,10,8,12,INSA
2021-04-18,29,15,22,9,8,11,Emnid
2021-04-20,21,13,28,12,7,11,Forsa
2021-04-20,28,15,23,10,6,11,Forsa
2021-04-20,27,16,22,11,7,12,INSA
2021-04-20,28,16,21,11,7,12,INSA
2021-04-21,28,16.5,23,10,7.5,9.5,Allensbach
2021-04-23,24,17,23,12,8,11,INSA
2021-04-24,27,13,28,9,7,10,Emnid
2021-04-26,23,16,23,12,8,12,INSA
2021-04-28,22,13,28,12,7,11,Forsa
2021-04-30,24,14,25,11,8,11,Yougov
2021-05-01,24,15,27,11,7,10,Emnid
2021-05-03,24,15,24,12,7,12,INSA
2021-05-05,23,14,28,12,6,10,Forsa
2021-05-06,23,14,26,11,6,12,Infratest
2021-05-07,25,14,26,10,7,11,ForWahlen
2021-05-08,23,16,26,12,7,10,Emnid
2021-05-10,25.5,15,23.5,12,7.5,11,INSA
2021-05-12,24,15,27,11,6,10,Forsa
2021-05-12,24,15,27,11,6,10,Forsa
2021-05-13,24,15,25,12,7,11,Infratest
2021-05-15,24,15,25,11,8,11,Emnid
2021-05-16,25,16,24,11,7,12,INSA
2021-05-17,26,15,24,11,7,11,GMS
2021-05-17,25.5,16,23,12.5,6.5,11,INSA
2021-05-19,27.5,16,24,10,6.5,10,Allensbach
2021-05-19,24,15,26,11,6,10,Forsa
2021-05-21,26,14,24,11,8,11,Emnid
2021-05-21,24,14,25,11,7,11,ForWahlen
2021-05-23,24,17,23,13,6,12,INSA
2021-05-25,26,16,22,12.5,6.5,11.5,INSA
2021-05-26,24,14,25,13,6,10,Forsa
2021-05-27,26,15,22,12,7,11,Yougov
2021-05-28,25,15,23,12,7,12,Emnid
2021-05-29,25,16,22,13,7,12,INSA
2021-05-31,25.5,15.5,21.5,13.5,6.5,11,INSA
2021-06-02,25,14,24,14,6,9,Forsa
2021-06-05,24,16,22,13,7,11,Emnid
2021-06-06,26,17,21,12,6,12,INSA
2021-06-07,26.5,15.5,20.5,13.5,7,11,INSA
2021-06-09,27,14,22,14,6,9,Forsa
2021-06-10,28,15,22,10,7,11,ForWahlen
2021-06-10,28,14,20,12,7,12,Infratest
2021-06-11,26,16,21,13,7,11,Emnid
2021-06-12,27,16,20,13,6,11,INSA
2021-06-14,27.5,16.5,19.5,13.5,6,11,INSA
2021-06-16,29.5,17,21.5,11,7,9,Allensbach
2021-06-16,28,14,21,14,7,9,Forsa
2021-06-18,27,17,20,12,7,10,Emnid
2021-06-20,28,16,20,13,6,11,INSA
2021-06-21,28,16,20,12,8,10,GMS
2021-06-21,28.5,15.5,19,14,7,10.5,INSA
2021-06-23,29,15,21,13,6,9,Forsa
2021-06-24,28,15,21,11,6,12,Infratest
2021-06-25,28,17,19,11,7,10,Emnid
2021-06-25,29,14,22,10,7,10,ForWahlen
2021-06-27,28,17,19,12,7,11,INSA
2021-06-28,29.5,16,18,13,7.5,11,INSA
2021-06-30,30,14,20,12,7,9,Forsa
2021-07-01,28,15,20,11,7,11,Infratest
2021-07-02,28,16,20,10,7,11,Emnid
2021-07-02,30,15,19,11,7,11,Yougov
2021-07-04,28,17,18,12,7,10,INSA
2021-07-06,29,16.5,18,12.5,7,10,INSA
2021-07-07,30,15,19,11,7,10,Forsa
2021-07-10,29,15,19,11,8,11,Emnid
2021-07-10,28,17,17,12,8,11,INSA
2021-07-12,28,17,17,12.5,7,11,INSA
2021-07-14,30,15,19,12,7,9,Forsa
2021-07-16,28,15,20,11,8,11,Emnid
2021-07-16,30,15,20,10,7,10,ForWahlen
2021-07-17,28,17,18,12,7,11,INSA
2021-07-19,29,16.5,18,12,6,11.5,INSA
2021-07-20,31.5,16.5,18,12,6.5,9.5,Allensbach
2021-07-21,28,16,19,12,7,10,Forsa
2021-07-22,29,16,19,12,6,10,Infratest
2021-07-23,28,16,19,12,7,11,Emnid
2021-07-24,27,17,18,13,7,11,INSA
2021-07-26,27,17.5,17.5,13,6,12,INSA
2021-07-27,30,15,18,12,7,10,GMS
2021-07-28,30,16,19.5,12,7,9.5,Allensbach
2021-07-28,26,15,21,13,7,10,Forsa
2021-07-30,27,17,19,13,6,11,Emnid
2021-07-30,28,16,21,10,7,11,ForWahlen
2021-07-30,28,16,16,12,8,12,Yougov
2021-07-31,27,17,18,13,6,11,INSA
2021-08-02,27.5,18,18,13,7,11,INSA
2021-08-03,26,16,20,13,6,10,Forsa
2021-08-04,24,18,22,13,6,11,Emnid
2021-08-05,27,18,19,12,6,10,Infratest
2021-08-07,26,18,18,12,7,11,INSA
2021-08-09,25.5,17.5,17.5,12.5,6.5,11.5,INSA
2021-08-11,22,19,21,12,7,11,Emnid
2021-08-11,23,19,20,12,7,10,Forsa
2021-08-13,26,19,19,11,7,11,ForWahlen
2021-08-14,25,20,18,12,7,11,INSA
2021-08-16,25,20,17.5,12.5,6.5,11,INSA
2021-08-18,23,21,19,12,6,10,Forsa
2021-08-19,27.5,19.5,17.5,11,7.5,11,Allensbach
2021-08-19,22,21,19,12,7,11,Emnid
2021-08-19,23,21,17,13,7,11,Infratest
2021-08-21,22,22,17,13,7,12,INSA
2021-08-23,23,23,17,13,7,11,INSA
2021-08-24,22,23,18,12,6,10,Forsa
2021-08-26,23,23,18,12,7,11,Emnid
2021-08-27,22,22,20,10,6,11,ForWahlen
2021-08-27,22,24,16,13,8,11,Yougov
2021-08-28,26,24,17,10.5,6,10.5,Allensbach
2021-08-28,21,24,17,13,6,11,INSA
2021-08-30,20,25,16.5,13.5,7,11,INSA
2021-08-31,21,23,18,12,6,11,Forsa
2021-09-02,21,25,19,11,7,11,Emnid
2021-09-02,20,25,16,13,6,12,Infratest
2021-09-03,22,25,17,11,7,11,ForWahlen
2021-09-03,20,25,15,13,8,12,Yougov
2021-09-04,20,25,16,13,7,12,INSA
2021-09-06,20.5,26,15.5,12.5,6.5,11,INSA
2021-09-07,19,25,17,13,6,11,Forsa
2021-09-07,23,25,17,12,6,11,GMS
2021-09-08,25,27,15.5,9.5,6,11,Allensbach
2021-09-09,21,25,17,12,6,12,Emnid
2021-09-10,22,25,17,11,6,11,ForWahlen
2021-09-10,21,26,15,10,6,12,Yougov
2021-09-11,20,26,15,13,6,11,INSA
2021-09-13,20.5,26,15,12.5,6.5,11.5,INSA
2021-09-14,21,25,17,11,6,11,Forsa
2021-09-14,23,25,16,13,6,11,GMS
2021-09-16,20,26,17,11,6,12,Emnid
2021-09-16,22,26,15,11,6,11,Infratest
2021-09-16,20,25,15,10,8,11,Yougov
2021-09-17,22,25,16,11,6,11,ForWahlen
2021-09-18,21,26,15,12,6,11,INSA
2021-09-20,22,25,15,12,6.5,11,INSA
2021-09-21,22,25,17,11,6,11,Forsa
2021-09-23,21,25,16,11,7,11,Emnid
2021-09-23,23,25,16.5,11,6,10,ForWahlen
2021-09-23,21,25,14,11,7,12,Yougov
2021-09-24,25,26,16,10.5,5,10,Allensbach
2021-09-24,22,25,17,12,6,10,Forsa
